ID,datetime,temperature,pressure,windspeed,Usage_kW,AC_DR_kW,Kitchen_kW,UPS_kW,LR_kW,AC_Dr_kW,AC_BR_kW,electricity_consumption
85,7/4/2013 13:00,-4.3,1005,5.435,1.5754,0.0004,0.1972,0.2342,0.1454,0.003,0.353,288
86,7/4/2013 14:00,-3.6,993,5.005,1.5746,0.0004,0.1978,0.2336,0.145,0.0031,0.3533,300
87,7/4/2013 15:00,-2.9,1000,10.815,1.5734,0.0004,0.1989,0.2336,0.1446,0.0031,0.3525,303
88,7/4/2013 16:00,-3.6,987,14.86,1.5749,0.0004,0.199,0.2339,0.145,0.0031,0.3524,255
89,7/4/2013 17:00,-4.3,1004,22.635,1.5786,0.0004,0.1998,0.234,0.1452,0.0031,0.3544,279
90,7/4/2013 18:00,-2.9,986,29.935,1.5789,0.0004,0.198,0.2368,0.1456,0.003,0.3526,270
91,7/4/2013 19:00,-4.3,1002,36.96,1.5876,0.0004,0.2025,0.2348,0.1467,0.0032,0.3543,252
92,7/4/2013 20:00,-6.4,993,45.11,1.5926,0.0004,0.2034,0.2354,0.1476,0.0032,0.3552,273
93,7/4/2013 21:00,-4.3,994,52.66,1.596,0.0004,0.2034,0.2353,0.1485,0.0032,0.3559,231
94,7/4/2013 22:00,-6.4,1000,59.435,1.5974,0.0004,0.203,0.2359,0.149,0.0031,0.3561,246
95,7/4/2013 23:00,-5.7,1008,68.235,1.5961,0.0004,0.203,0.2353,0.149,0.0031,0.3559,231
96,7/5/2013 0:00,-8.6,993,77.425,1.5946,0.0004,0.2021,0.2362,0.1489,0.0031,0.3544,228
97,7/5/2013 1:00,-6.4,997,86.255,1.5972,0.0004,0.202,0.2381,0.1497,0.0031,0.3527,210
98,7/5/2013 2:00,-7.9,991,95.96,1.5931,0.0004,0.2014,0.2359,0.1491,0.003,0.3516,213
99,7/5/2013 3:00,-7.9,991,105.9,1.596,0.0004,0.2015,0.2362,0.1494,0.0031,0.3536,213
100,7/5/2013 4:00,-7.9,1009,114.09,1.5512,0.0004,0.2005,0.2274,0.144,0.0033,0.3512,231
101,7/5/2013 5:00,-8.6,1001,124.795,1.5414,0.0004,0.1972,0.2265,0.143,0.0031,0.351,225
102,7/5/2013 6:00,-10,996,130.82,1.5397,0.0004,0.201,0.2252,0.1412,0.0034,0.3521,210
103,7/5/2013 7:00,-10.7,1011,138.72,1.5381,0.0004,0.2003,0.2278,0.1406,0.0034,0.3507,201
104,7/5/2013 8:00,-7.9,1005,147.285,1.5318,0.0003,0.2002,0.2243,0.1403,0.0034,0.3506,213
105,7/5/2013 9:00,-10,1011,156.475,1.5295,0.0003,0.1998,0.224,0.1403,0.0034,0.3502,204
106,7/5/2013 10:00,-9.3,996,165.79,1.5254,0.0004,0.1998,0.2234,0.1394,0.0034,0.3481,204
107,7/5/2013 11:00,-7.1,1004,174.355,1.5247,0.0004,0.2002,0.2227,0.1384,0.0034,0.351,204
108,7/5/2013 12:00,-7.9,1003,184.185,1.5261,0.0004,0.2006,0.2226,0.1389,0.0034,0.3506,198
109,7/5/2013 13:00,-6.4,1003,193.5,1.529,0.0004,0.2007,0.2258,0.1392,0.0034,0.349,210
110,7/5/2013 14:00,-5,993,201.675,1.5249,0.0003,0.2004,0.223,0.1392,0.0034,0.3485,186
111,7/5/2013 15:00,-4.3,993,210.615,1.5268,0.0003,0.1998,0.2236,0.1398,0.0034,0.349,192
112,7/5/2013 16:00,-6.4,992,219.32,1.5221,0.0003,0.1938,0.2234,0.1399,0.0031,0.3503,207
113,7/5/2013 17:00,-5.7,1002,228.51,1.5188,0.0004,0.1911,0.2232,0.1396,0.003,0.3499,207
114,7/5/2013 18:00,-6.4,1010,236.435,1.5151,0.0004,0.1871,0.2231,0.1402,0.0028,0.3494,180
115,7/5/2013 19:00,-7.1,1010,245.485,1.5092,0.0004,0.1787,0.2232,0.1402,0.0024,0.352,192
116,7/5/2013 20:00,-6.4,1005,253.3,1.5063,0.0004,0.1784,0.225,0.1395,0.0024,0.3496,192
117,7/5/2013 21:00,-6.4,1014,260.95,1.5038,0.0004,0.1784,0.2226,0.1388,0.0024,0.3496,192
118,7/5/2013 22:00,-7.1,1002,268.1,1.5039,0.0004,0.1788,0.2228,0.1384,0.0024,0.3495,231
119,7/5/2013 23:00,-8.6,1014,275.775,1.5048,0.0004,0.1785,0.2228,0.139,0.0024,0.3493,210
120,7/6/2013 0:00,-7.9,1012,283.825,1.5072,0.0003,0.1778,0.223,0.1401,0.0024,0.3498,210
121,7/6/2013 1:00,-7.9,1002,289.51,1.5093,0.0004,0.177,0.2233,0.1406,0.0023,0.3506,204
122,7/6/2013 2:00,-10,1005,296.445,1.4304,0.0004,0.0916,0.2263,0.1409,0.002,0.3529,213
123,7/6/2013 3:00,-8.6,1012,303.995,1.3755,0.0004,0.0426,0.223,0.14,0.0044,0.3527,204
124,7/6/2013 4:00,-9.3,1017,309.165,1.3697,0.0004,0.0426,0.2224,0.1401,0.0044,0.3497,207
125,7/6/2013 5:00,-10.7,1007,314.085,1.3678,0.0003,0.0425,0.2217,0.1391,0.0044,0.351,186
126,7/6/2013 6:00,-9.3,1001,319.005,1.3626,0.0004,0.0424,0.2212,0.138,0.0043,0.3486,186
127,7/6/2013 7:00,-9.3,1011,322.775,1.358,0.0004,0.0423,0.2204,0.1368,0.0043,0.3486,207
128,7/6/2013 8:00,-10,1017,327.17,1.3562,0.0004,0.0423,0.2201,0.1368,0.0042,0.3483,192
129,7/6/2013 9:00,-7.1,1009,334.195,1.359,0.0003,0.0423,0.223,0.1372,0.0042,0.3476,195
130,7/6/2013 10:00,-7.1,1013,343.135,1.358,0.0003,0.0423,0.2202,0.1374,0.0043,0.3488,186
131,7/6/2013 11:00,-5.7,1014,351.825,1.3595,0.0003,0.0424,0.2204,0.1379,0.0043,0.3485,201
132,7/6/2013 12:00,-4.3,1014,360.89,1.3593,0.0004,0.0424,0.2203,0.1372,0.0042,0.3476,192
133,7/6/2013 13:00,-4.3,1007,368.955,1.3581,0.0003,0.0424,0.2199,0.1376,0.0043,0.348,216
134,7/6/2013 14:00,-3.6,1013,379.02,1.3546,0.0004,0.0424,0.2194,0.1371,0.0042,0.3479,204
135,7/6/2013 15:00,-4.3,1009,386.195,1.3684,0.0004,0.0553,0.2207,0.1374,0.0036,0.3482,204
136,7/6/2013 16:00,-6.4,999,393.345,1.4246,0.0003,0.1163,0.2196,0.1366,0.0006,0.3475,186
137,7/6/2013 17:00,-4.3,1006,401.37,1.4506,0.0003,0.144,0.2183,0.1363,0.0008,0.3478,222
138,7/6/2013 18:00,-5.7,1013,407.645,1.4573,0.0003,0.1478,0.2186,0.1361,0.001,0.3492,195
139,7/6/2013 19:00,-5,1011,414.455,1.4577,0.0003,0.1482,0.2186,0.1368,0.001,0.3482,201
140,7/6/2013 20:00,-6.4,1013,419.375,1.4596,0.0003,0.1478,0.2188,0.1385,0.001,0.3482,213
141,7/6/2013 21:00,-9.3,1002,423.42,1.4586,0.0003,0.1474,0.2188,0.138,0.001,0.3486,198
142,7/6/2013 22:00,-7.9,998,426.175,1.4563,0.0003,0.1481,0.2202,0.1367,0.001,0.3482,231
143,7/6/2013 23:00,-9.3,1005,431.32,1.4526,0.0003,0.1479,0.218,0.1363,0.0011,0.3483,213
144,7/7/2013 0:00,-7.1,1010,434.45,1.4542,0.0003,0.148,0.2174,0.1368,0.001,0.3502,201
145,7/7/2013 1:00,-8.6,1001,438.62,1.4522,0.0003,0.1476,0.2175,0.1369,0.001,0.3493,195
146,7/7/2013 2:00,-10,1003,443.015,1.4499,0.0003,0.1478,0.2172,0.1373,0.0011,0.3471,201
147,7/7/2013 3:00,-10,1001,447.535,1.4488,0.0003,0.1474,0.2171,0.1361,0.001,0.3474,210
148,7/7/2013 4:00,-10,998,5.395,1.4492,0.0003,0.148,0.2164,0.1354,0.0011,0.3491,204
149,7/7/2013 5:00,-12.9,996,5.645,1.4504,0.0003,0.1472,0.2174,0.1368,0.001,0.348,192
150,7/7/2013 6:00,-12.9,1010,9.025,1.4507,0.0003,0.1465,0.219,0.1366,0.001,0.3474,213
151,7/7/2013 7:00,-11.4,1007,12.03,1.4502,0.0003,0.1466,0.2173,0.1371,0.001,0.3472,216
152,7/7/2013 8:00,-10,1003,15.16,1.4524,0.0003,0.1467,0.218,0.1381,0.001,0.3458,228
153,7/7/2013 9:00,-7.1,996,19.055,1.456,0.0003,0.1466,0.2182,0.1382,0.001,0.3462,225
154,7/7/2013 10:00,-7.9,1000,23.725,1.4572,0.0003,0.147,0.2183,0.1388,0.0009,0.3462,234
155,7/7/2013 11:00,-5.7,1008,26.605,1.46,0.0003,0.1466,0.2184,0.1391,0.001,0.3477,231
156,7/7/2013 12:00,-5,998,28.02,1.4595,0.0003,0.1459,0.2185,0.1389,0.0009,0.3478,240
157,7/7/2013 13:00,-5,996,2.515,1.4621,0.0004,0.1459,0.2211,0.1385,0.0009,0.3473,261
158,7/7/2013 14:00,-3.6,1000,3.68,1.4598,0.0003,0.1458,0.2184,0.1384,0.0009,0.3478,258
159,7/7/2013 15:00,-2.1,997,2.915,1.4641,0.0004,0.1464,0.2184,0.1391,0.0009,0.3495,270
160,7/7/2013 16:00,-5,995,6.17,1.4649,0.0003,0.1464,0.2189,0.1394,0.0008,0.3486,270
161,7/7/2013 17:00,-5,994,8.8,1.4642,0.0003,0.1456,0.2192,0.1403,0.0008,0.3463,237
162,7/7/2013 18:00,-5,992,13.695,1.4643,0.0004,0.1456,0.2194,0.14,0.0008,0.3464,270
163,7/7/2013 19:00,-5.7,988,15.825,1.4652,0.0004,0.1454,0.2197,0.1405,0.0008,0.346,270
164,7/7/2013 20:00,-5,1003,19.205,1.4644,0.0004,0.145,0.2205,0.1395,0.0008,0.3468,273
165,7/7/2013 21:00,-7.1,986,20.22,1.4673,0.0003,0.145,0.2211,0.1399,0.0008,0.3474,294
166,7/7/2013 22:00,-7.9,989,2.765,1.3765,0.0004,0.0565,0.2199,0.1401,0.0036,0.3462,282
167,7/7/2013 23:00,-7.9,997,3.28,1.362,0.0004,0.0425,0.2195,0.1394,0.0044,0.3466,306
168,7/8/2013 0:00,-9.3,1001,2.015,1.333,0.0004,0.0425,0.2188,0.1393,0.0044,0.3195,330
169,7/8/2013 1:00,-7.9,998,3.305,1.3278,0.0004,0.0425,0.2191,0.139,0.0044,0.3135,348
170,7/8/2013 2:00,-9.3,1000,2.64,1.3287,0.0004,0.0425,0.219,0.1399,0.0043,0.3135,384
171,7/8/2013 3:00,-10,997,2.64,1.3288,0.0004,0.0426,0.2188,0.1397,0.0044,0.3143,372
172,7/8/2013 4:00,-8.6,1001,3.555,1.3294,0.0004,0.0426,0.2218,0.1372,0.0043,0.3138,378
173,7/8/2013 5:00,-7.9,985,6.435,1.3291,0.0004,0.0426,0.2194,0.1393,0.0043,0.3133,405
174,7/8/2013 6:00,-7.1,987,10.19,1.3302,0.0004,0.0427,0.2194,0.1394,0.0043,0.313,342
175,7/8/2013 7:00,-6.4,993,14.735,1.3303,0.0004,0.0427,0.2192,0.139,0.0043,0.3135,279
176,7/8/2013 8:00,-7.1,994,20.03,1.3265,0.0004,0.0427,0.2192,0.1369,0.0043,0.3128,228
177,7/8/2013 9:00,-7.1,994,27.68,1.3276,0.0004,0.0426,0.2186,0.139,0.0043,0.3127,207
178,7/8/2013 10:00,-5,1006,36.12,1.3249,0.0004,0.0427,0.2181,0.1381,0.0043,0.3129,189
179,7/8/2013 11:00,-5,1001,46.8,1.3275,0.0004,0.0427,0.221,0.1375,0.0043,0.3119,213
180,7/8/2013 12:00,-5,1007,56.115,1.3575,0.0004,0.0717,0.219,0.14,0.0029,0.3116,201
181,7/8/2013 13:00,-4.3,994,64.555,1.4179,0.0004,0.1293,0.2194,0.1407,0.0001,0.3116,210
182,7/8/2013 14:00,-4.3,1003,75.26,1.4364,0.0004,0.1485,0.2198,0.1402,0.0009,0.3108,210
183,7/8/2013 15:00,-5.7,994,84.965,1.4412,0.0004,0.1533,0.2196,0.141,0.0011,0.3095,189
184,7/8/2013 16:00,-5,994,94.795,1.4409,0.0003,0.1546,0.2196,0.1395,0.0012,0.3103,213
185,7/8/2013 17:00,-5,1004,102.97,1.4419,0.0003,0.1561,0.219,0.1392,0.0013,0.3111,210
186,7/8/2013 18:00,-5,1007,112.3,1.4446,0.0003,0.1568,0.2191,0.1406,0.0013,0.312,222
187,7/8/2013 19:00,-5.7,1003,122.255,1.4486,0.0003,0.1576,0.2217,0.1401,0.0013,0.313,204
188,7/8/2013 20:00,-5,994,139.745,1.4449,0.0004,0.1594,0.2188,0.1394,0.0014,0.3119,204
189,7/8/2013 21:00,-7.9,1003,152.08,1.4458,0.0004,0.1593,0.2188,0.1398,0.0014,0.3119,222
190,7/8/2013 22:00,-7.9,1003,161.535,1.4441,0.0004,0.1598,0.2185,0.1386,0.0014,0.3121,222
191,7/8/2013 23:00,-8.6,1000,173.855,1.4434,0.0003,0.1603,0.2184,0.1394,0.0014,0.3116,216
192,7/9/2013 0:00,-9.3,998,184.91,1.4423,0.0003,0.161,0.2182,0.1388,0.0015,0.311,201
193,7/9/2013 1:00,-9.3,1011,198.37,1.4408,0.0004,0.1617,0.2179,0.1385,0.0016,0.3101,195
194,7/9/2013 2:00,-10,997,210.69,1.4412,0.0003,0.1608,0.2178,0.1388,0.0015,0.3112,213
195,7/9/2013 3:00,-8.6,1001,221.87,1.4429,0.0004,0.1614,0.2201,0.1385,0.0015,0.3116,201
196,7/9/2013 4:00,-10.7,1003,231.075,1.4407,0.0003,0.1612,0.2174,0.138,0.0016,0.3127,216
197,7/9/2013 5:00,-10,1003,244.02,1.4384,0.0004,0.1576,0.2176,0.1388,0.0014,0.3115,201
198,7/9/2013 6:00,-10.7,998,251.695,1.4368,0.0004,0.1551,0.2178,0.1388,0.0012,0.3115,195
199,7/9/2013 7:00,-10.7,1012,257.38,1.4332,0.0003,0.153,0.2173,0.1379,0.0011,0.3124,201
200,7/9/2013 8:00,-10,1004,262.025,1.435,0.0004,0.1516,0.2182,0.1393,0.001,0.3107,195
201,7/9/2013 9:00,-8.6,1003,269.95,1.4369,0.0004,0.1517,0.2184,0.1395,0.001,0.3118,210
202,7/9/2013 10:00,-7.1,1004,278.265,1.4333,0.0004,0.1512,0.218,0.1393,0.001,0.3106,198
203,7/9/2013 11:00,-6.4,1008,286.955,1.4321,0.0004,0.1497,0.2206,0.1386,0.001,0.3095,198
204,7/9/2013 12:00,-7.1,1018,296.395,1.4279,0.0003,0.1487,0.2177,0.1388,0.0009,0.3096,222
205,7/9/2013 13:00,-5.7,1010,305.71,1.4274,0.0003,0.1488,0.2176,0.1388,0.001,0.3097,222
206,7/9/2013 14:00,-5.7,1008,313.9,1.4264,0.0003,0.149,0.2174,0.139,0.0009,0.3086,189
207,7/9/2013 15:00,-6.4,996,322.825,1.4218,0.0003,0.147,0.2171,0.1382,0.0008,0.3087,204
208,7/9/2013 16:00,-5.7,1013,328.975,1.4198,0.0003,0.1472,0.2167,0.1366,0.0009,0.3085,213
209,7/9/2013 17:00,-6.4,1007,336.375,1.4193,0.0003,0.1472,0.2166,0.1368,0.0009,0.3084,210
210,7/9/2013 18:00,-6.4,1003,342.685,1.4175,0.0003,0.1476,0.2158,0.1372,0.0009,0.3088,210
211,7/9/2013 19:00,-6.4,1003,346.73,1.4176,0.0003,0.147,0.2177,0.1367,0.0009,0.3084,222
212,7/9/2013 20:00,-7.9,1004,352.775,1.4189,0.0003,0.147,0.2165,0.1376,0.0009,0.3094,213
213,7/9/2013 21:00,-6.4,999,356.17,1.4171,0.0003,0.1459,0.2163,0.1373,0.0008,0.3084,222
214,7/9/2013 22:00,-8.6,1011,359.55,1.4183,0.0003,0.1461,0.2163,0.1378,0.0008,0.3081,195
215,7/9/2013 23:00,-8.6,1003,363.32,1.4174,0.0003,0.1456,0.2164,0.1374,0.0008,0.3081,192
216,7/10/2013 0:00,-7.9,1002,370.095,1.4149,0.0003,0.1452,0.216,0.1371,0.0008,0.3077,210
217,7/10/2013 1:00,-7.9,994,377.245,1.4168,0.0003,0.1458,0.2159,0.137,0.0008,0.3087,204
218,7/10/2013 2:00,-8.6,1013,382.805,1.3217,0.0003,0.0496,0.2161,0.1377,0.0039,0.3084,204
219,7/10/2013 3:00,-7.9,1004,391.745,1.3175,0.0003,0.0424,0.2176,0.1384,0.0042,0.3079,222
220,7/10/2013 4:00,-7.9,1006,399.645,1.3196,0.0003,0.0424,0.2184,0.1386,0.0043,0.308,219
221,7/10/2013 5:00,-7.9,1012,404.94,1.3204,0.0004,0.0426,0.217,0.1391,0.0043,0.3084,204
222,7/10/2013 6:00,-11.4,997,2.14,1.323,0.0004,0.0426,0.2176,0.1391,0.0044,0.3086,222
223,7/10/2013 7:00,-11.4,1012,4.505,1.3233,0.0004,0.0426,0.2175,0.1392,0.0044,0.3085,195
224,7/10/2013 8:00,-12.1,1009,5.645,1.3265,0.0004,0.0426,0.2178,0.1404,0.0044,0.31,201
225,7/10/2013 9:00,-10,1000,9.04,1.3099,0.0004,0.0425,0.2173,0.1393,0.0043,0.2963,198
226,7/10/2013 10:00,-7.9,1003,6.67,1.3029,0.0004,0.0424,0.2172,0.1366,0.0044,0.2927,189
227,7/10/2013 11:00,-5.7,997,5.795,1.3047,0.0003,0.0424,0.2168,0.1388,0.0044,0.2927,222
